Id,Value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-2.418370662400003
8,-2.3639511040000003
9,-2.418370662400003
10,-2.3639511040000003
11,-2.273251840000004
12,-11.363951104
13,-1.8701440000000018
14,-1.450240000000004
15,-1.8701440000000018
16,-1.450240000000004
17,-0.7504000000000028
18,-10.450239999999992
19,-2.3639511040000003
20,-2.27325184
21,-2.3639511040000003
22,-2.27325184
23,-2.122086400000004
24,-11.273251839999995
25,-2.49619150162493
26,-2.4977132262845636
27,-2.49619150162493
28,-2.4977076076528686
29,-11.494089931806483
30,-11.490230712146198
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,-2.49619150162493
38,-2.497713383819286
39,-2.49619150162493
40,-2.497710978366592
41,-11.494829485712893
42,-11.478412227456946
43,-2.482368063078398
44,-2.4894136263562068
45,-2.482368063078398
46,-2.4894072782643635
47,-11.486773841196394
48,-11.487874536966704
49,-2.273251840000004
50,-2.3639333168927754
51,-2.4182140939645205
52,-2.3639215347228673
53,-11.362087656479725
54,-11.361847064705943
55,-2.470613438464001
56,-2.482362008501068
57,-2.4893999327226513
58,-2.4823555970162716
59,-11.480231131070006
60,-11.481234919310165
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,-2.4510223974400023
68,-2.4705968879338385
69,-2.4823509960533943
70,-2.4705722326181654
71,-11.468001748063237
72,-11.46798842775215
73,-2.4894208378470393
74,-2.4936409047703822
75,-2.4894208378470393
76,-2.493624481392334
77,-11.485157041798017
78,-11.48207681373129
79,-2.470613438464001
80,-2.4823525218584552
81,-2.470613438464001
82,-2.4823468206877077
83,-11.475597917481497
84,-11.460120068088417
85,-2.4894208378470393
86,-2.493648820217478
87,-2.4894208378470393
88,-2.493639504582736
89,-11.480930848076888
90,-11.48689915488282
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,5.599999999999993
98,10.999999999999991
99,5.599999999999993
100,10.999999999999991
101,1.9999999999999922
102,19.99999999999999
103,-2.122086400000004
104,-2.27325184
105,-2.122086400000004
106,-2.27325184
107,-11.273251839999995
108,-2.3639511040000003
109,0.41599999999999737
110,-0.7504000000000028
111,-1.450240000000004
112,-0.7504000000000028
113,-9.750399999999994
114,-1.450240000000002
115,-1.8701440000000038
116,-2.1220864
117,-1.8701440000000038
118,-2.1220864
119,-11.122086399999999
120,-2.27325184
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,-2.451022183472147
128,-2.4183696825604546
129,-2.418370454023638
130,-2.3639511040000043
131,-11.41836067094343
132,-11.418339781927262
133,-2.1220864
134,-1.8701440000000038
135,-1.8701440000000018
136,-1.450240000000004
137,-10.87014399999999
138,-10.87014399999999
139,-2.4183706623999988
140,-2.3639511040000003
141,-2.3639511040000003
142,-2.273251840000004
143,-11.363951104
144,-11.363951104
145,-2.493652502708222
146,-2.496190114822545
147,-2.496189422890744
